count_point_id,latitude,longitude,all_motor_vehicles,cluster
6000,51.58752235,-0.237927144,2909.4,0
6001,51.63468919,-0.265291848,3399.8860759493673,0
6013,51.49406628,-0.432701712,4224.479838709677,0
6071,51.51822828,-0.009838548,3048.492537313433,0
6076,51.58907965,-0.204231535,3494.1423220973784,0
6077,51.64084978,-0.256240303,2978.9148936170213,0
6097,51.44602939,0.157124095,3670.2182890855456,0
6121,51.49474172,-0.18633361,2645.0,0
6122,51.49293124,-0.287245308,2852.0,0
6216,51.51130381,-0.009852342,2927.0,0
6429,51.53840525,-0.357637456,4073.1298969072163,0
6458,51.57310296,-0.212077289,2989.153846153846,0
6901,51.43414008,-0.390153272,3089.657894736842,1
6902,51.47070027,-0.273679086,2961.0,0
7055,51.54177425,-0.275893484,3435.5062034739453,0
7058,51.6057161,-0.025223669,3673.0216346153848,0
7969,51.46802248,-0.5041414,3273.5,0
8280,51.49679905,-0.452935248,3124.375,0
8354,51.48433187,-0.124813263,3012.769230769231,0
8468,51.57193815,-0.230146318,3417.5,0
8476,51.39670124,-0.247686453,3597.803370786517,2
8509,51.51441033,-0.243173396,2977.2020202020203,0
8618,51.50930688,-0.08487775,2955.0,0
16012,51.49461721,-0.474459266,4925.877510040161,0
16104,51.37339464,-0.29170887,3783.5676328502414,2
16110,51.49111236,-0.225371669,2915.1428571428573,0
16142,51.49981867,-0.148671212,3441.6666666666665,0
16174,51.6816749,-0.05041749,3147.15,3
16202,51.52015642,0.045308667,3544.278409090909,0
16404,51.52064268,-0.263142497,3115.730769230769,0
16405,51.54832104,-0.414972721,3583.9257425742576,0
16433,51.59555223,-0.233718296,3460.25,0
17013,51.56941816,-0.321889387,2669.0,-1
17019,51.56868571,-0.241109135,3504.3931888544894,0
17020,51.59085721,-0.191168791,2920.5714285714284,0
17021,51.61590003,-0.097295278,2796.875,0
17022,51.59550731,0.019814378,4494.24384787472,0
17569,51.46879503,-0.177441931,2912.0,4
17570,51.4587001,-0.194556648,2815.0833333333335,4
17574,51.49822262,-0.144413667,2727.25,0
17639,51.50984041,-0.156911464,3060.6196319018404,0
17876,51.54258457,0.282257662,3854.3809523809523,-1
18265,51.4123248,-0.297305851,3187.25,5
18454,51.52403788,-0.144805431,2773.0,0
18467,51.50961562,-0.075728034,2688.0,0
18468,51.51104949,-0.10858384,2810.0,0
18496,51.49060202,-0.24404593,3305.34595959596,0
18526,51.52944094,0.088977436,3677.746031746032,0
18622,51.41313138,-0.303315732,2912.875,5
18623,51.41055025,-0.298953611,2777.25,5
18727,51.49497211,-0.409837066,2814.375,0
18728,51.51769925,0.072584947,2671.0,0
26012,51.4950771,-0.349111481,3293.1545064377683,0
26080,51.58962022,-0.198435893,3400.5021097046415,0
26081,51.62102635,-0.253533606,2756.1176470588234,0
26102,51.45620575,0.08678303,3536.443579766537,0
26116,51.48822638,-0.273017562,3191.7737556561087,0
26117,51.47584416,-0.388685859,2829.0,0
26180,51.63786293,-0.065593111,2767.0,-1
26189,51.4340324,-0.256933276,3068.705882352941,4
26199,51.60675441,0.019446992,3097.6666666666665,0
26211,51.58867239,0.175858066,2925.5,6
26212,51.57342803,0.022588352,3165.340909090909,0
26217,51.51372109,0.001350748,3525.076923076923,0
26429,51.52125442,-0.16221634,2893.6666666666665,0
26434,51.53550633,-0.343322608,3977.2739130434784,0
26463,51.58105098,-0.226197989,2950.608695652174,0
26643,51.49551228,0.003865699,3265.95,0
26645,51.59459011,0.01038904,2667.0,0
26909,51.40379796,-0.342336447,3364.5,5
26914,51.49017998,-0.4112281,2811.5,0
26921,51.42670288,-0.405230488,3135.0208333333335,1
27087,51.57467692,-0.220962665,3493.6404958677685,0
27088,51.60583196,-0.159524856,2851.64406779661,0
27089,51.61169643,-0.044030316,3387.6684931506848,0
27236,51.52245813,-0.156401796,2716.75,0
27883,51.68272436,-0.059485868,4279.860045146727,3
27917,51.53164535,-0.018336721,3075.2208333333333,0
27923,51.47930655,-0.503325999,6541.464190981433,0
28212,51.52360943,-0.079087756,2870.6666666666665,0
28505,51.49397052,-0.19755777,2763.4444444444443,0
28672,51.55168943,0.067638036,3484.8746666666666,0
28673,51.59099271,0.046828041,2930.25,0
36013,51.48894691,-0.453474857,2864.923076923077,0
36079,51.64976193,-0.250838435,2814.285714285714,0
36111,51.45668058,-0.190721009,2864.0,4
36113,51.39184662,-0.262274558,3820.4030501089323,2
36119,51.49095944,-0.215294048,3017.2781456953644,0
36120,51.491343,-0.301709926,2806.25,0
36213,51.57519457,0.091073964,2815.777777777778,0
36309,51.46805684,-0.417755267,3434.0,0
36437,51.51606693,-0.25899274,3066.054187192118,0
36438,51.54532846,-0.384790677,3436.3626062322946,0
36469,51.62135698,-0.275912789,2741.5,0
36497,51.44835212,0.128449573,3539.4110576923076,0
36943,51.4627149,-0.415060752,2666.5,0
37113,51.54660279,-0.267922741,3281.4240837696334,0
37114,51.58619555,-0.209686218,2850.0593220338983,0
37116,51.59773165,0.005474027,3844.6441860465115,0
37663,51.48550015,-0.124765363,3169.3529411764707,0
38022,51.58921269,0.270734056,4022.1425389755013,6
38561,51.49055058,-0.280031304,3054.918367346939,0
38563,51.39789109,-0.245470255,3331.8074074074075,2
38565,51.48615298,-0.122289937,3032.6666666666665,0
38579,51.44784237,-0.452143037,2820.0,-1
38664,51.45592588,0.056829756,3350.0127388535034,0
38683,51.57717202,0.034877482,3379.1481481481483,0
38692,51.33962766,-0.118548691,2836.0,-1
38722,51.41291413,-0.300735278,2703.0,5
38749,51.61402222,-0.059530274,3161.5457875457873,0
39035,51.51073393,-0.040631718,2789.6279069767443,0
46077,51.61365611,-0.241682921,3013.695652173913,0
46110,51.4573983,-0.196450533,2669.0,4
46111,51.44016507,-0.24605209,3380.6521739130435,4
46121,51.48936994,-0.247046216,3249.7589743589742,0
46122,51.47853144,-0.368430094,2872.3333333333335,0
46216,51.50120218,0.217366612,3396.6666666666665,0
46217,51.51688159,0.016335191,3493.8392156862747,0
46245,51.41579049,0.103925076,2897.048780487805,-1
46910,51.4127906,-0.304622596,3155.5,5
46929,51.46182235,-0.312450638,2799.0,0
47094,51.61532255,-0.080621612,3008.1446280991736,0
47245,51.52422503,-0.141857012,2907.3333333333335,0
47892,51.49121764,-0.293071571,2995.944162436548,0
48251,51.52051997,-0.167002715,2890.0714285714284,0
48347,51.41166989,-0.300508224,2722.75,5
48547,51.4859184,-0.121680215,3140.4444444444443,0
48552,51.51086105,-0.113635688,3303.6666666666665,0
48580,51.37553557,-0.305997852,3532.6949152542375,2
48610,51.52074906,0.05975002,3719.6343612334804,0
48611,51.57208135,0.048359534,3349.944055944056,0
48644,51.47156015,0.026616922,3420.5406698564593,0
48704,51.41256922,-0.30175471,3230.0,5
48810,51.50808218,-0.405129902,2974.076923076923,0
48814,51.50868476,-0.003913993,3459.4102564102564,0
49028,51.51995735,-0.397608803,3098.8333333333335,0
49035,51.50723109,-0.013632587,3237.44966442953,0
56029,51.58130005,0.040546651,4140.54255319149,0
56071,51.59529913,-0.216980001,2719.0,0
56097,51.44507198,-0.231473647,3134.5,4
56112,51.40683411,-0.242151824,3303.972027972028,2
56117,51.51225304,-0.116316437,2720.5,0
56187,51.67363072,-0.053366235,2829.0,3
56211,51.58107648,0.163514594,3741.0,6
56436,51.5255247,-0.271606209,3085.0282485875705,0
56467,51.58709131,-0.23318017,2895.703703703704,0
56614,51.50900266,-0.104345361,4374.0,0
56650,51.37588075,-0.277247567,2824.0,2
56663,51.58780149,0.222300011,2890.0,6
56686,51.47570506,-0.404818726,2783.0,0
56711,51.45151476,-0.346365611,2722.0,0
56758,51.59479653,-0.184226547,2896.7608695652175,0
57056,51.57830971,-0.215033337,2921.0372670807456,0
57227,51.59404001,0.037074943,2960.0,0
57537,51.5219052,-0.158413405,2786.1111111111113,0
58173,51.51991557,-0.1743783,2664.0,0
58200,51.46445064,-0.187246444,2722.0,4
58231,51.53264287,0.071706262,3270.3768844221104,0
58232,51.59445846,0.034206022,2715.0,0
58266,51.45981929,0.034705654,3099.964285714286,0
59008,51.47524399,-0.394754918,2731.75,0
70049,51.55823258,-0.003764513,3721.375886524823,0
70193,51.51487361,-0.072825519,2741.0,0
71000,51.5253607,0.146601237,3380.0104166666665,0
73141,51.53582098,-0.286932852,2973.983870967742,0
73822,51.51473793,0.004998555,3483.5253623188405,0
74528,51.53828481,-0.025979478,3342.6686390532545,0
74530,51.54791166,-0.030005151,3437.785714285714,0
74531,51.48869003,0.013649266,3201.4657534246576,0
74532,51.48353683,0.020464962,3294.394557823129,0
74534,51.5200949,-0.193513384,2984.925925925926,0
74535,51.51742804,-0.211376342,2804.1428571428573,0
74540,51.50899971,-0.21891201,3076.8571428571427,0
74691,51.5609061,-0.256125673,3023.8571428571427,0
74923,51.55317262,-0.448267861,2787.0,0
75072,51.48714648,-0.316269613,3158.837837837838,0
75400,51.51039833,-0.090596542,3138.0,0
76054,51.52556361,-0.136670348,2869.3333333333335,0
78347,51.55630597,-0.460855305,3485.2369337979094,0
78379,51.57487163,0.272905849,3350.0,6
79993,51.58456497,-0.067280982,2770.6,-1
79994,51.58887835,-0.06709801,2898.8,-1
88038,51.56654876,-0.246746986,3566.5243243243244,0
88042,51.57021255,-0.234989625,2800.5373134328356,0
88048,51.57470497,-0.221033723,3461.9057971014495,0
90220,51.43414008,-0.390153272,2769.5,1
90269,51.55823258,-0.003764513,3398.3125,0
92015,51.42670288,-0.405230488,2884.285714285714,1
92016,51.55630597,-0.460855305,3462.953125,0
92178,51.49746923,0.001963445,2913.076923076923,0
92182,51.48908449,0.012672756,3001.5333333333333,0
96012,51.51688159,0.016335191,3072.4375,0
99753,51.53125,-0.389614088,3341.3333333333335,0
99901,51.38226632,-0.277295452,3715.3010380622836,2
99902,51.53235654,0.117948139,3456.821917808219,0
99903,51.51424052,0.179084993,3450.563157894737,0
